"Week 1","","",""
"","1:00 pm","Cleveland Browns","Pittsburgh Steelers"
"","1:00 pm","Dallas Cowboys","Carolina Panthers"
"","1:00 pm","Los Angeles Chargers","Miami Dolphins"
"","1:00 pm","Los Angeles Rams","Baltimore Ravens"
"","1:00 pm","San Francisco 49ers","Tampa Bay Buccaneers"
"","1:00 pm","Seattle Seahawks","Jacksonville Jaguars"
"","4:05 pm","Tennessee Titans","Las Vegas Raiders"
"","4:25 pm","Cincinnati Bengals","Green Bay Packers"
"","4:25 pm","New England Patriots","New Orleans Saints"
"","8:20 pm","Detroit Lions","Kansas City Chiefs"
"Mon Oct 13","7:15 pm","Buffalo Bills","Atlanta Falcons"
"","8:15 pm","Chicago Bears","Washington Commanders"
"¹ This game is being played in London. Bye: Houston, Minnesota","","",""
"Week 7","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Oct 16","8:15 pm","Pittsburgh Steelers","Cincinnati Bengals"
"Sun Oct 19","9:30 am","Los Angeles Rams","Jacksonville Jaguars ¹"
"","1:00 pm","Carolina Panthers","New York Jets"
"","1:00 pm","Las Vegas Raiders","Kansas City Chiefs"
"","1:00 pm","Miami Dolphins","Cleveland Browns"
"","1:00 pm","New England Patriots","Tennessee Titans"
"","1:00 pm","New Orleans Saints","Chicago Bears"
"","1:00 pm","Philadelphia Eagles","Minnesota Vikings"
"","4:05 pm","Indianapolis Colts","Los Angeles Chargers"
"","4:05 pm","New York Giants","Denver Broncos"
"","4:25 pm","Green Bay Packers","Arizona Cardinals"
"","4:25 pm","Washington Commanders","Dallas Cowboys"
"","8:20 pm","Atlanta Falcons","San Francisco 49ers"
"Mon Oct 20","7:00 pm","Tampa Bay Buccaneers","Detroit Lions"
"","10:00 pm","Houston Texans","Seattle Seahawks"
"¹ This game is being played in London. Bye: Baltimore, Buffalo","","",""
"Week 8","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Oct 23","8:15 pm","Minnesota Vikings","Los Angeles Chargers"
"Sun Oct 26","1:00 pm","Buffalo Bills","Carolina Panthers"
"","1:00 pm","Chicago Bears","Baltimore Ravens"
"","1:00 pm","Cleveland Browns","New England Patriots"
"","1:00 pm","Miami Dolphins","Atlanta Falcons"
"","1:00 pm","New York Giants","Philadelphia Eagles"
"","1:00 pm","New York Jets","Cincinnati Bengals"
"","1:00 pm","San Francisco 49ers","Houston Texans"
"","4:05 pm","Tampa Bay Buccaneers","New Orleans Saints"
"","4:25 pm","Dallas Cowboys","Denver Broncos"
"","4:25 pm","Tennessee Titans","Indianapolis Colts"
"","8:20 pm","Green Bay Packers","Pittsburgh Steelers"
"Mon Oct 27","8:15 pm","Washington Commanders","Kansas City Chiefs"
"Bye: Arizona, Detroit, Jacksonville, Las Vegas, L.A. Rams, Seattle","","",""
"Week 9","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Oct 30","8:15 pm","Baltimore Ravens","Miami Dolphins"
"Sun Nov 2","1:00 pm","Atlanta Falcons","New England Patriots"
"","1:00 pm","Carolina Panthers","Green Bay Packers"
"","1:00 pm","Chicago Bears","Cincinnati Bengals"
"","1:00 pm","Denver Broncos","Houston Texans"
"","1:00 pm","Indianapolis Colts","Pittsburgh Steelers"
"","1:00 pm","Los Angeles Chargers","Tennessee Titans"
"","1:00 pm","Minnesota Vikings","Detroit Lions"
"","1:00 pm","San Francisco 49ers","New York Giants"
"","4:05 pm","Jacksonville Jaguars","Las Vegas Raiders"
"","4:05 pm","New Orleans Saints","Los Angeles Rams"
"","4:25 pm","Kansas City Chiefs","Buffalo Bills"
"","8:20 pm","Seattle Seahawks","Washington Commanders"
"Mon Nov 3","8:15 pm","Arizona Cardinals","Dallas Cowboys"
"Bye: Cleveland, N.Y. Jets, Philadelphia, Tampa Bay","","",""
"Week 10","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Nov 6","8:15 pm","Las Vegas Raiders","Denver Broncos"
"Sun Nov 9","9:30 am","Atlanta Falcons","Indianapolis Colts ¹"
"","1:00 pm","Baltimore Ravens","Minnesota Vikings"
"","1:00 pm","Buffalo Bills","Miami Dolphins"
"","1:00 pm","Cleveland Browns","New York Jets"
"","1:00 pm","Jacksonville Jaguars","Houston Texans"
"","1:00 pm","New England Patriots","Tampa Bay Buccaneers"
"","1:00 pm","New Orleans Saints","Carolina Panthers"
"","1:00 pm","New York Giants","Chicago Bears"
"","4:05 pm","Arizona Cardinals","Seattle Seahawks"
"","4:25 pm","Detroit Lions","Washington Commanders"
"","4:25 pm","Los Angeles Rams","San Francisco 49ers"
"","8:20 pm","Pittsburgh Steelers","Los Angeles Chargers"
"Mon Nov 10","8:15 pm","Philadelphia Eagles","Green Bay Packers"
"¹ This game is being played in Berlin. Bye: Cincinnati, Dallas, Kansas City, Tennessee","","",""
"Week 11","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Nov 13","8:15 pm","New York Jets","New England Patriots"
"Sun Nov 16","9:30 am","Washington Commanders","Miami Dolphins ¹"
"","1:00 pm","Carolina Panthers","Atlanta Falcons"
"","1:00 pm","Chicago Bears","Minnesota Vikings"
"","1:00 pm","Cincinnati Bengals","Pittsburgh Steelers"
"","1:00 pm","Green Bay Packers","New York Giants"
"","1:00 pm","Houston Texans","Tennessee Titans"
"","1:00 pm","Los Angeles Chargers","Jacksonville Jaguars"
"","1:00 pm","Tampa Bay Buccaneers","Buffalo Bills"
"","4:05 pm","San Francisco 49ers","Arizona Cardinals"
"","4:05 pm","Seattle Seahawks","Los Angeles Rams"
"","4:25 pm","Baltimore Ravens","Cleveland Browns"
"","4:25 pm","Kansas City Chiefs","Denver Broncos"
"","8:20 pm","Detroit Lions","Philadelphia Eagles"
"Mon Nov 17","8:15 pm","Dallas Cowboys","Las Vegas Raiders"
"¹ This game is being played in Madrid. Bye: Indianapolis, New Orleans","","",""
"Week 12","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Nov 20","8:15 pm","Buffalo Bills","Houston Texans"
"Sun Nov 23","1:00 pm","Indianapolis Colts","Kansas City Chiefs"
"","1:00 pm","Minnesota Vikings","Green Bay Packers"
"","1:00 pm","New England Patriots","Cincinnati Bengals"
"","1:00 pm","New York Giants","Detroit Lions"
"","1:00 pm","New York Jets","Baltimore Ravens"
"","1:00 pm","Pittsburgh Steelers","Chicago Bears"
"","1:00 pm","Seattle Seahawks","Tennessee Titans"
"","4:05 pm","Cleveland Browns","Las Vegas Raiders"
"","4:05 pm","Jacksonville Jaguars","Arizona Cardinals"
