"Week 1","","",""
"","1:00 pm","Houston Texans","New England Patriots"
"","1:00 pm","Indianapolis Colts","Tennessee Titans"
"","1:00 pm","Tampa Bay Buccaneers","New Orleans Saints"
"","1:00 pm","Washington Commanders","Baltimore Ravens"
"","4:05 pm","Los Angeles Chargers","Denver Broncos"
"","4:05 pm","Pittsburgh Steelers","Las Vegas Raiders"
"","4:25 pm","Atlanta Falcons","Carolina Panthers"
"","4:25 pm","Detroit Lions","Dallas Cowboys"
"","8:20 pm","Cincinnati Bengals","New York Giants"
"Mon Oct 14","8:15 pm","Buffalo Bills","New York Jets"
"¹ This game is being played in London. Bye: Kansas City, L.A. Rams, Miami, Minnesota","","",""
"Week 7","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Oct 17","8:15 pm","Denver Broncos","New Orleans Saints"
"Sun Oct 20","9:30 am","New England Patriots","Jacksonville Jaguars ¹"
"","1:00 pm","Cincinnati Bengals","Cleveland Browns"
"","1:00 pm","Detroit Lions","Minnesota Vikings"
"","1:00 pm","Houston Texans","Green Bay Packers"
"","1:00 pm","Miami Dolphins","Indianapolis Colts"
"","1:00 pm","Philadelphia Eagles","New York Giants"
"","1:00 pm","Seattle Seahawks","Atlanta Falcons"
"","1:00 pm","Tennessee Titans","Buffalo Bills"
"","4:05 pm","Carolina Panthers","Washington Commanders"
"","4:05 pm","Las Vegas Raiders","Los Angeles Rams"
"","4:25 pm","Kansas City Chiefs","San Francisco 49ers"
"","8:20 pm","New York Jets","Pittsburgh Steelers"
"Mon Oct 21","8:15 pm","Baltimore Ravens","Tampa Bay Buccaneers"
"","9:00 pm","Los Angeles Chargers","Arizona Cardinals"
"¹ This game is being played in London. Bye: Chicago, Dallas","","",""
"Week 8","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Oct 24","8:15 pm","Minnesota Vikings","Los Angeles Rams"
"Sun Oct 27","1:00 pm","Arizona Cardinals","Miami Dolphins"
"","1:00 pm","Atlanta Falcons","Tampa Bay Buccaneers"
"","1:00 pm","Baltimore Ravens","Cleveland Browns"
"","1:00 pm","Chicago Bears","Washington Commanders"
"","1:00 pm","Green Bay Packers","Jacksonville Jaguars"
"","1:00 pm","Indianapolis Colts","Houston Texans"
"","1:00 pm","New York Jets","New England Patriots"
"","1:00 pm","Tennessee Titans","Detroit Lions"
"","4:05 pm","Buffalo Bills","Seattle Seahawks"
"","4:05 pm","New Orleans Saints","Los Angeles Chargers"
"","4:25 pm","Carolina Panthers","Denver Broncos"
"","4:25 pm","Kansas City Chiefs","Las Vegas Raiders"
"","4:25 pm","Philadelphia Eagles","Cincinnati Bengals"
"","8:20 pm","Dallas Cowboys","San Francisco 49ers"
"Mon Oct 28","8:15 pm","New York Giants","Pittsburgh Steelers"
"Week 9","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Oct 31","8:15 pm","Houston Texans","New York Jets"
"Sun Nov 3","1:00 pm","Dallas Cowboys","Atlanta Falcons"
"","1:00 pm","Denver Broncos","Baltimore Ravens"
"","1:00 pm","Indianapolis Colts","Minnesota Vikings"
"","1:00 pm","Las Vegas Raiders","Cincinnati Bengals"
"","1:00 pm","Los Angeles Chargers","Cleveland Browns"
"","1:00 pm","Miami Dolphins","Buffalo Bills"
"","1:00 pm","New England Patriots","Tennessee Titans"
"","1:00 pm","New Orleans Saints","Carolina Panthers"
